god_name,description,mythology,godly_aspects
Aker , A god of the earth and the horizon,Egyptian,"earth, boundaries"
Amun ," A creator god, god of air",Egyptian,"creator, air"
Anhur,A god of war and hunting,Egyptian,war. Hunting
Anubis,God of the dead. Carries the dead to the judgement place of the Underworld,Egyptian,death
Atum,"A creator god and solar deity, god of pre/post existence",Egyptian,"creator, existence"
Bennu,"A solar and creator deity, associated with rebirth",Egyptian,"creator, rebirth"
Geb,An earth god and member of the Ennead,Egyptian,Earth god
Hapi,Personification of the Nile flood,Egyptian,"river, flooding"
Horus,"A major god, usually shown as a falcon or as a human child, linked with the sky, the sun, kingship, protection, and healing. Often said to be the son of Osiris and Isis.",Egyptian,"sky, kingship"
Khepri,"A solar creator god, often treated as the morning form of Ra and represented by a scarab beetle",Egyptian,"creator, sun"
Khnum ," A ram god, the patron deity of Elephantine, who was said to control the Nile flood and give life to gods and humans",Egyptian,"river, birth"
Montu,"A god of war and the sun, worshipped at Thebes",Egyptian,
Nefertum,God of the lotus blossom from which the sun god rose at the beginning of time. Son of Ptah and Sekhmet.,Egyptian,
Nemty,"Falcon god, worshipped in Middle Egypt, who appears in myth as a ferryman for greater gods",Egyptian,
Neper,A god of grain,Egyptian,
Osiris,"god of death and resurrection who rules the underworld and enlivens vegetation, and deceased souls",Egyptian,
Ptah,"A creator deity and god of craftsmen, the patron god of Memphis",Egyptian,
Ra ," Sun God, king of gods, sky god",Egyptian,
Set,"An ambivalent god, characterized by violence, chaos, and strength, connected with the desert. Murderer of Osiris and enemy of Horus",Egyptian,
Shu,"Embodiment of wind or air, a member of the Ennead",Egyptian,
Sobek,"Crocodile god, worshipped in the Faiyum and at Kom Ombo",Egyptian,
Sopdu,A god of the sky and of Egypt's eastern border regions,Egyptian,
Thoth,"A moon god, and a god of writing and scribes, and patron deity of Hermopolis",Egyptian,
Wadj,God of fertility,Egyptian,
Bastet,"Goddess represented as a cat or lioness, patroness of the city of Bubastis, linked with protection from evil",Egyptian,
Hathor," One of the most important goddesses, linked with the sky, the sun, sexuality and motherhood, music and dance, foreign lands and goods, and the afterlife. One of many forms of the Eye of Ra.[36]",Egyptian,
Heqet,Frog goddess said to protect women in childbirth,Egyptian,
Hesat,cow goddess dealing with motherhood,Egyptian,
Isis,"Wife of Osiris and mother of Horus, linked with funerary rites, motherhood, protection, and magic. She became a major deity in Greek and Roman religion.",Egyptian,
Maat,"Goddess who personified truth, justice, and order",Egyptian,
Neith,"A creator and hunter goddess, patron of the city of Sais in Lower Egypt",Egyptian,
Nekhbet,"A vulture goddess, the tutelary deity of Upper Egypt",Egyptian,
Nephthys,"Goddess of air, head of family",Egyptian,
Nepit ," A goddess of grain, female counterpart of Neper",Egyptian,
Nut ," A sky goddess, a member of the Ennead",Egyptian,
Renenutet , An agricultural goddess,Egyptian,
Satet , A goddess of Egypt's southern frontier regions,Egyptian,
Sekhmet ," A lioness goddess, both destructive and violent and capable of warding off disease, protector of the pharaohs who led them in war, the consort of Ptah and one of many forms of the Eye of Ra.",Egyptian,
Tefnut , Lioness goddess of moisture and a member of the Ennead,Egyptian,
Wadjet," A cobra goddess, the tutelary deity of Lower Egypt",Egyptian,
Aphrodite,"goddess of beauty, love, desire, and pleasure",Greek,
Apollo,"god of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery",Greek,
Ares,"god of courage, war, bloodshed, and violence",Greek,
Artemis,"virgin goddess of the hunt, wilderness, animals, the moon and young girls",Greek,
Athena,"goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts",Greek,
Demeter,"goddess of grain, agriculture, harvest, growth, and nourishment",Greek,
Dionysus,"god of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater",Greek,
Hades,god and king of the underworld and the dead,Greek,
Hephaestus,"god of fire, metalworking, and crafts",Greek,
Hera,"queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires",Greek,
Hermes,"god of boundaries, travel, communication, trade, language, thieves and writing",Greek,
Hestia,"virgin goddess of the hearth, home, and chastity",Greek,
Helios,Sun god,Greek,
Poseidon,"god of the sea, rivers, floods, droughts, and earthquakes",Greek,
 Zeus,"king of the gods, ruler of mount olympus, and god of the sky, weather, thunder, lightning, law, order, and justice",Greek,
Achlys," goddess of poisons, and the personification of misery and sadness",Greek,
Aether, god of light and the upper atmosphere,Greek,
Aion," god of eternity, personifying cyclical and unbounded time",Greek,
Ananke," goddess of inevitability, compulsion, and necessity",Greek,
Chaos, personification of nothingness from which all of existence sprang,Greek,
Chronos," god of empirical time, sometimes equated with aion",Greek,
Erebus, god of darkness and shadow,Greek,
Eros, god of love and attraction,Greek,
Gaia,personification of the earth (mother earth); mother of the titans,Greek,
Hemera, goddess of day,Greek,
Hypnos,god of sleep,Greek,
Nemesis, goddess of retribution,Greek,
Nesoi, goddesses of islands,Greek,
Nyx, goddess of night,Greek,
Ourea, gods of mountains,Greek,
Tartarus," god of the deepest, darkest part of the underworld, the tartarean pit (which is also referred to as tartarus itself)",Greek,
Thanatos,god of death,Greek,
Uranus, god of the heavens (father sky); father of the titans,Greek,
Morpheus,god of dreaming,Greek,
Nike,goddess of victory,Greek,
Kratos,"god of strength, might, power, and sovereign rule",Greek,
Persephone,goddess of agriculture,Greek,
Aegir ,Norse God of the sea. Married to Ran and lives under the waves near the island of Hlesey.,Norse,
Aesir , A group of warrior gods led by Odin who inhabit Asgard.,Norse,
Balder , Son of Odin and Frigg. Known as a gentle and wise god. Killed accidentally by his brother Hod. Will return after Ragnarok.,Norse,
Bolverk , The alias Odin adopted when disguised as a giant to win the mead of poetry.,Norse,
Bor ," Son of Buri and father of Odin, Vili and Ve.",Norse,
Bragi , The Norse God of poetry and eloquence. Son of Odin and husband of Idun.,Norse,
Buri , Ancestor of the Norse gods. Created by the cow Audmula licking him from ice.,Norse,
Day , Son of Night and Delling. Said to ride around the earth on his horse Skinfaxi.,Norse,
Earth , Daughter of Night and Annar.,Norse,
Einherjar , Band of dead warriors in Valhalla who await Ragnarok.,Norse,
